Name,BirthDate,DeathDate
Jack London,1876-01-12,1916-11-22
Romain Gary,1914-05-21,1980-12-02
Fyodor Dostoevsky,1821-11-11,1881-02-09
Stefan Zweig,1881-11-28,1942-02-22
Joseph Kessel,1898-02-10,1979-07-23
Victor Hugo,1802-02-26,1885-05-22
Jules Verne,1828-02-08,1905-03-24
Edgar Allan Poe,1809-01-19,1849-10-07
Leo Tolstoy,1828-09-09,1910-11-20
George Orwell,1903-06-25,1950-01-21
